id,title,description,min_level,section,image,section_image
1,What a Software Project Manager Does,"Keeping scope, time, people, and risk aligned so the team can actually ship.",1,Foundations,unit1.png,
2,Project vs Product vs Program,"Three related but distinct scopes of work, each managed a little differently.",1,Foundations,unit2.png,
3,"The Iron Triangle: Scope, Time, Cost",Why you can rarely fix all three at once without something else giving.,1,Foundations,unit3.png,
4,Mapping Your Stakeholders,Identifying everyone with a stake in a project's outcome before you plan around them.,1,Foundations,unit4.png,
5,Writing a Project Charter,"A short document that states a project's purpose, goals, and boundaries up front.",1,Foundations,unit5.png,
6,Waterfall: When It Still Makes Sense,"A sequential, phase-by-phase approach that still fits certain kinds of projects.",1,Methodologies,unit6.png,
7,Agile Values and Principles,"The core mindset behind Agile, before any specific framework is layered on top.",1,Methodologies,unit7.png,
8,Scrum Roles and Ceremonies,The people and recurring meetings that make up the Scrum framework.,1,Methodologies,unit8.png,
9,Sprint Planning Basics,Deciding what a team will commit to for the upcoming sprint.,1,Methodologies,unit9.png,
10,Kanban Fundamentals,"Visualizing work as it flows through columns, limiting how much is in progress at once.",1,Methodologies,unit10.png,
11,Scrumban: Mixing Scrum and Kanban,Borrowing Scrum's structure and Kanban's flow into one hybrid approach.,1,Methodologies,unit11.png,
12,Choosing a Methodology for Your Team,"Matching a way of working to your team's actual size, pace, and product.",1,Methodologies,unit12.png,
13,Work Breakdown Structures,"Splitting a big project into smaller, more manageable pieces of work.",1,Planning and Estimation,unit13.png,
14,Story Points vs Time Estimates,Two different ways teams size how much effort a piece of work will take.,1,Planning and Estimation,unit14.png,
15,Planning Poker,"A quick, structured way for a team to agree on a story point estimate together.",1,Planning and Estimation,unit15.png,
16,The Critical Path Method,Finding the longest chain of dependent tasks that sets your project's minimum timeline.,1,Planning and Estimation,unit16.png,
17,Buffering for Uncertainty,"Building slack into a schedule on purpose, because estimates are never perfectly right.",1,Planning and Estimation,unit17.png,
18,Burndown and Burnup Charts,"Two simple charts that show how much work remains, or how much has been done.",1,Execution and Tracking,unit18.png,
19,Tracking Team Velocity,"Measuring how much work a team reliably completes per sprint, over time.",1,Execution and Tracking,unit19.png,
20,Managing Scope Creep,"Catching small, unapproved additions before they quietly grow a project past its plan.",1,Execution and Tracking,unit20.png,
21,Running a Good Daily Standup,"A short daily sync focused on progress and blockers, not a status report to a boss.",1,Execution and Tracking,unit21.png,
22,Backlog Grooming,Regularly refining and reordering the backlog so it stays ready to plan from.,1,Execution and Tracking,unit22.png,
23,Identifying and Mitigating Risk,Spotting what could go wrong early enough to actually do something about it.,1,Risk and Quality,unit23.png,
24,Technical Debt as a Project Risk,"Treating shortcuts taken for speed as a real risk to track, not just an engineering complaint.",1,Risk and Quality,unit24.png,
25,Writing a Definition of Done,"A shared, explicit checklist for when a piece of work truly counts as finished.",1,Risk and Quality,unit25.png,
26,Setting Quality Gates,Checkpoints a piece of work must pass before it is allowed to move forward.,1,Risk and Quality,unit26.png,
27,Leading Without Authority,Getting a team to follow your lead when you have no formal power over them.,1,People and Communication,unit27.png,
28,Running Effective Retrospectives,A regular meeting where a team honestly reflects on what to keep and what to change.,1,People and Communication,unit28.png,
29,Managing Remote and Distributed Teams,Keeping a team aligned and connected across different locations and time zones.,1,People and Communication,unit29.png,
30,Resolving Conflict on a Project Team,"Addressing disagreement on a team directly, before it quietly damages the work.",1,People and Communication,unit30.png,
31,Reporting Status to Executives,"Summarizing project health for people who need the headline, not every detail.",1,People and Communication,unit31.png,
32,Project Management Tools Overview,"The kinds of software teams use to plan, track, and manage a project.",1,Tools and Closing a Project,unit32.png,
33,Managing Change Requests,Handling a request to change scope after a project is already underway.,1,Tools and Closing a Project,unit33.png,
34,Project Closure and Postmortems,Formally wrapping up a project and honestly reviewing how it actually went.,1,Tools and Closing a Project,unit34.png,
35,Common Project Failure Patterns,The handful of mistakes that sink software projects again and again.,1,Tools and Closing a Project,unit35.png,
